rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/entropy_loss,train/loss,train/learning_rate,train/n_updates,train/approx_kl,train/value_loss
16,5992.148148148148,1018.9991237407406,5763,163840,28,-0.004377747543039732,150,0.015617966651916504,4.756190746426582,0.0076480187,0.072490234375,0.6540868878364563,-0.7682647773623467,0.2,0.00029549999999999997
17,5987.137931034483,1019.6182183448275,5939,174080,29,-0.0040005304879741745,160,0.08998918533325195,5.39487729460001,0.0067862337,0.0726171875,2.4268620014190674,-0.7938224160671234,0.2,0.00029519999999999997
18,5990.066666666667,1019.9173377,6092,184320,30,-0.004300310587859712,170,0.011202812194824219,5.651882503330707,0.008147655,0.071845703125,0.7881573438644409,-0.7887939941883088,0.2,0.00029489999999999996
19,5993.75,1019.7416040312501,6265,194560,31,-0.0042792582637048325,180,0.04583519697189331,3.7870068383216857,0.007344241,0.070224609375,0.7218869924545288,-0.7897460447251796,0.2,0.00029459999999999995
20,6002.411764705882,1019.6609734705883,6441,204800,31,-0.005333295062882826,190,0.09649229049682617,6.0375763002038,0.0075816237,0.081611328125,0.9252831935882568,-0.7539277920126914,0.2,0.00029429999999999994
21,5996.342857142857,1019.8230702000001,7513,215040,28,-0.003988430182216689,200,0.054671525955200195,6.7766567292809485,0.008412539,0.073427734375,3.749814033508301,-0.7802170602977276,0.2,0.000294
22,5996.621621621622,1019.5069454054053,7684,225280,29,-0.002791262993996497,210,0.13724976778030396,4.610482312142849,0.005757901,0.064501953125,4.055408000946045,-0.783167299926281,0.2,0.0002937
23,5999.692307692308,1020.0686587692308,7865,235520,29,-0.0038418710269615985,220,0.03555530309677124,7.8757086929678914,0.0070756795,0.07416015625,3.7850263118743896,-0.7554494981467724,0.2,0.0002934
24,6000.85,1020.147531975,8025,245760,30,-0.00311254876491148,230,0.00821596384048462,8.473056406080723,0.0066062273,0.062392578125,2.6222848892211914,-0.751277601569891,0.2,0.00029309999999999997
25,6002.738095238095,1020.5121522857143,8202,256000,31,-0.002057384860527236,240,0.03719300031661987,4.957773581743241,0.0070669563,0.073671875,1.4534687995910645,-0.7379291804134845,0.2,0.00029279999999999996
26,6005.909090909091,1020.4179435681818,9329,266240,28,-0.00361567095911596,250,0.0076389312744140625,9.242633188664913,0.0076142238,0.07802734375,2.2910759449005127,-0.7375124597549438,0.2,0.00029249999999999995
27,6008.869565217391,1019.8463539347827,9509,276480,29,-0.005066611203947104,260,0.02702111005783081,9.51138640165329,0.008963451,0.0952734375,0.5480746626853943,-0.7198236283659935,0.2,0.00029219999999999995
28,6006.851063829788,1019.8534567234042,9655,286720,29,-0.0034364310526871123,270,0.04709380865097046,9.61091288536787,0.0075869584,0.070654296875,1.9637768268585205,-0.6898028062283993,0.2,0.0002919
29,6012.163265306122,1019.9515703265307,9826,296960,30,-0.0024103486639796756,280,0.036146700382232666,5.818566620945931,0.0063983365,0.060439453125,0.6576352715492249,-0.7092728039622307,0.2,0.0002916
30,6017.176470588235,1019.7376514509805,10004,307200,30,-0.00416615197842475,290,0.0027804970741271973,11.142336297333241,0.007915331,0.103857421875,5.796444892883301,-0.6942420651018619,0.2,0.0002913
31,6018.096153846154,1019.7052454423077,11042,317440,28,-0.004876482299587224,300,0.01684558391571045,11.340687975138426,0.010027217,0.104619140625,14.961934089660645,-0.6588364051282406,0.2,0.00029099999999999997
32,6021.574074074074,1019.5652764074074,11215,327680,29,-0.0021424041606951504,310,0.0673331618309021,6.303223103433847,0.005258384,0.05771484375,7.727485179901123,-0.6591614793241024,0.2,0.00029069999999999996
33,6021.178571428572,1019.4781766071428,11392,337920,29,-0.0030692281023948454,320,0.011115312576293945,12.395433944761754,0.008453365,0.071630859375,5.922418117523193,-0.6389187283813953,0.2,0.00029039999999999996
34,6019.2807017543855,1019.4644115263158,11538,348160,30,-0.0026659872898017055,330,0.031144678592681885,12.912397939264775,0.007018143,0.071455078125,1.8464162349700928,-0.625052892267704,0.2,0.00029009999999999995
35,6023.406779661017,1019.2285153898305,11709,358400,30,-0.003200794450531248,340,0.034895896911621094,7.253712365031243,0.008223842,0.083271484375,16.311702728271484,-0.6210368171334266,0.2,0.00028979999999999994
36,6022.0327868852455,1019.4030347049179,12778,368640,28,-0.0026431936406879687,350,0.03008592128753662,13.752956629991532,0.00620121,0.050419921875,7.532655239105225,-0.6213776659965515,0.2,0.0002895
37,6025.209677419355,1019.3319188064515,12911,378880,29,-0.0035053438556496984,360,0.00981813669204712,14.451384792029858,0.007771035,0.092158203125,2.8979713916778564,-0.6532207292318344,0.2,0.0002892
38,6023.609375,1019.526741875,13069,389120,29,-0.0023916918921167963,370,0.171625554561615,8.239227378368378,0.0073658777,0.07189453125,0.6608022451400757,-0.6648232200741768,0.2,0.0002889
39,6024.19696969697,1019.5697622424242,13226,399360,30,-0.0027227885875618085,380,0.005868315696716309,15.186415020525455,0.009838933,0.08568359375,3.019381284713745,-0.649008238017559,0.2,0.00028859999999999997
40,6024.373134328358,1019.6371386567163,13368,409600,30,-0.0022566819834173657,390,0.008047282695770264,15.935121738314628,0.0076759635,0.07103515625,2.4056355953216553,-0.6708574688434601,0.2,0.00028829999999999996
41,6023.014492753623,1019.7268356811593,14302,419840,29,-0.0022839265705260916,400,0.01819753646850586,8.848041465431452,0.006819314,0.0766015625,19.342994689941406,-0.6546821440756321,0.2,0.00028799999999999995
42,6022.605633802817,1019.7727740140843,14451,430080,29,-0.0025070356723153964,410,0.011324942111968994,16.483563597649336,0.008306736,0.069599609375,1.9367282390594482,-0.6825579230487346,0.2,0.00028769999999999995
43,6022.13698630137,1019.8064213287672,14604,440320,30,-0.004069718476675917,420,0.0121842622756958,16.941702494323252,0.008544521,0.083955078125,2.2308032512664795,-0.6605556961894036,0.2,0.00028739999999999994
44,6022.22972972973,1019.9427630675676,14730,450560,30,-0.002824732454610057,430,0.0026540160179138184,17.503423729538916,0.007185371,0.0811328125,4.733842372894287,-0.6595029327273368,0.2,0.0002871
45,6019.815789473684,1020.040399736842,14877,460800,30,-0.0028515288284688724,440,0.00896233320236206,9.486796056479216,0.005892246,0.0640625,2.408973455429077,-0.6644041140377521,0.2,0.0002868
