Dataset,Activities,Good terminals,Bad terminals,RND reward,FIFO reward,GRDY reward,EMP reward,RWDG reward,RL reward,RND bad %,FIFO bad %,GRDY bad %,EMP bad %,RWDG bad %,RL bad %,RND len,FIFO len,GRDY len,EMP len,RWDG len,RL len,ΔRL vs Random %,ΔRL vs Best Heur %,ΔRL bad vs best,ΔRL good vs best,ΔRL len vs best
BPIC2012,24,4,3,+13.36 ±17.17,+7.35 ±16.26,+19.96 ±11.82,+7.06 ±17.95,+6.60 ±16.41,+30.69 ±5.07,81.4%,68.6%,83.4%,81.6%,64.4%,82.2%,20.3,72.3,14.5,26.8,75.0,8.0,+129.7%,+53.7%,+17.8pp,-0.8pp,-6.5
BPIC2015,356,2,3,+17.95 ±19.05,-139.75 ±20.61,+21.40 ±18.68,-124.25 ±28.73,-11.35 ±50.42,+23.93 ±24.79,15.2%,1.2%,18.4%,1.2%,8.8%,14.8%,54.3,177.0,19.9,174.2,99.7,33.6,+33.3%,+11.8%,+13.6pp,-2.2pp,+13.7
BPIC2017,26,2,4,+21.13 ±11.56,-0.67 ±28.44,+4.17 ±20.36,-47.23 ±0.00,+16.27 ±21.95,+32.10 ±1.71,45.0%,32.4%,27.8%,0.0%,36.6%,49.6%,45.7,93.7,92.5,150.0,77.3,22.8,+51.9%,+51.9%,+49.6pp,-3.0pp,-22.9
