from_activity,to_activity,rl_count,random_count,rl_pct,random_pct,preference_ratio,log2_ratio,avg_reward_rl,in_real_log,transition_type
W_Complete application,O_Sent (mail and online),492,225,98.4,11.5,8.559,3.098,-0.017,True,learned_prefer
W_Validate application,W_Validate application,2387,267,95.8,11.7,8.166,3.03,-0.219,True,learned_prefer
W_Call incomplete files,W_Assess potential fraud,492,155,83.2,10.4,7.954,2.992,-0.017,True,learned_prefer
W_Call after offers,W_Call after offers,8250,246,97.2,12.9,7.552,2.917,-0.072,True,learned_prefer
W_Assess potential fraud,W_Call after offers,492,239,100.0,19.0,5.242,2.39,-0.017,True,learned_prefer
O_Returned,W_Call after offers,8,273,88.9,19.9,4.48,2.164,-0.017,True,learned_prefer
O_Sent (mail and online),W_Call incomplete files,491,175,50.0,12.7,3.926,1.973,-0.017,True,learned_prefer
O_Sent (mail and online),O_Sent (mail and online),490,177,49.9,12.9,3.874,1.954,-0.017,True,learned_prefer
A_Create Application,W_Complete application,500,162,100.0,32.4,3.08,1.623,-0.017,True,learned_prefer
O_Sent (online only),O_Sent (mail and online),0,132,0.0,10.8,3.075,1.621,0.0,True,learned_prefer
O_Sent (online only),W_Call incomplete files,0,134,0.0,11.0,3.03,1.599,0.0,True,learned_prefer
W_Shortened completion ,W_Call incomplete files,0,185,0.0,11.5,2.899,1.536,0.0,True,learned_prefer
W_Shortened completion ,W_Complete application,0,186,0.0,11.5,2.884,1.528,0.0,True,learned_prefer
O_Created,O_Sent (mail and online),0,267,0.0,11.6,2.867,1.519,0.0,True,learned_prefer
O_Sent (online only),W_Validate application,0,147,0.0,12.0,2.763,1.466,0.0,True,learned_prefer
O_Created,W_Complete application,0,277,0.0,12.0,2.763,1.466,0.0,True,learned_prefer
W_Shortened completion ,W_Validate application,0,196,0.0,12.2,2.737,1.453,0.0,True,learned_prefer
W_Shortened completion ,O_Sent (mail and online),0,196,0.0,12.2,2.737,1.453,0.0,True,learned_prefer
O_Created,W_Shortened completion ,0,280,0.0,12.2,2.734,1.451,0.0,True,learned_prefer
O_Sent (online only),O_Create Offer,0,150,0.0,12.3,2.708,1.437,0.0,True,learned_prefer
O_Created,O_Create Offer,0,284,0.0,12.3,2.695,1.43,0.0,True,learned_prefer
O_Created,W_Call after offers,0,286,0.0,12.4,2.677,1.42,0.0,True,learned_prefer
O_Created,W_Validate application,0,289,0.0,12.6,2.649,1.405,0.0,True,learned_prefer
W_Shortened completion ,O_Create Offer,0,204,0.0,12.6,2.63,1.395,0.0,True,learned_prefer
O_Sent (online only),W_Call after offers,0,158,0.0,12.9,2.571,1.362,0.0,True,learned_prefer
O_Created,O_Sent (online only),0,301,0.0,13.1,2.543,1.347,0.0,True,learned_prefer
W_Shortened completion ,W_Shortened completion ,0,212,0.0,13.1,2.531,1.34,0.0,True,learned_prefer
O_Sent (online only),O_Returned,0,161,0.0,13.2,2.523,1.335,0.0,True,learned_prefer
W_Shortened completion ,W_Call after offers,0,216,0.0,13.4,2.484,1.313,0.0,True,learned_prefer
W_Shortened completion ,A_Accepted,0,218,0.0,13.5,2.461,1.3,0.0,True,learned_prefer
O_Created,W_Call incomplete files,0,316,0.0,13.7,2.423,1.277,0.0,True,learned_prefer
O_Sent (online only),W_Complete application,0,169,0.0,13.8,2.404,1.266,0.0,True,learned_prefer
