from_activity,to_activity,rl_count,random_count,rl_pct,random_pct,preference_ratio,log2_ratio,avg_reward_rl,in_real_log,transition_type
register deadline,record date of decision environmental permit,125,0,100.0,0.0,279.0,8.124,-0.119,True,learned_prefer
record date of decision environmental permit,set decision phase decision permitting published,127,0,100.0,0.0,275.0,8.103,-0.111,True,learned_prefer
create publication document,start decision phase extension granted,2,0,66.7,0.0,243.571,7.928,-0.053,True,learned_prefer
create subcases completeness,decision date prior to decision,110,0,85.9,0.0,231.319,7.854,-0.198,True,learned_prefer
enter receipt of additional data,send letter in progress,1,0,100.0,0.0,195.0,7.607,-0.013,True,learned_prefer
phase additional information received,creating environmental permit decision,4,0,100.0,0.0,193.0,7.592,-0.013,True,learned_prefer
enter senddate procedure confirmation,date for inspection MER,294,0,52.1,0.0,157.032,7.295,-0.126,True,learned_prefer
start decisionphase draft decision - permitting decided,read publication date field,1,0,100.0,0.0,151.0,7.238,-0.203,True,learned_prefer
start decision phase decision permitting sent,create procedure confirmation,2,0,50.0,0.0,142.778,7.158,-0.068,True,learned_prefer
create procedure confirmation,create publication document,2,0,66.7,0.0,142.143,7.151,-0.061,True,learned_prefer
enter senddate decision suspension,phase procedure resumed,1,0,100.0,0.0,139.0,7.119,-0.013,True,learned_prefer
close case,decision keep permanently suspended,1,0,100.0,0.0,135.0,7.077,-0.027,True,learned_prefer
transcript decision environmental permit to stakeholders,enter senddate procedure confirmation,295,0,52.5,0.0,131.859,7.043,-0.173,True,learned_prefer
treat subcases completeness,transcript decision environmental permit to stakeholders,6,1,100.0,0.5,128.333,7.004,-0.013,True,learned_prefer
decision date prior to decision,create decision no permit required,202,0,50.4,0.0,119.533,6.901,-0.186,True,learned_prefer
set decision phase suspension sent,enter date decision suspension,6,0,100.0,0.0,119.0,6.895,-0.165,True,learned_prefer
set decision phase: draft decision for inspection,perspective on draft decision environmental permit received,12,0,100.0,0.0,117.0,6.87,-0.167,True,learned_prefer
phase application receptive,transcript decision environmental permit to stakeholders,199,1,100.0,0.6,111.667,6.803,-0.151,True,learned_prefer
registrer date of publishing received request,enter senddate updated plan,1,0,33.3,0.0,104.143,6.702,-0.27,True,learned_prefer
set decision status,submit decision,191,2,99.5,0.8,95.7,6.58,-0.137,True,learned_prefer
terminate on request,term for supplying missing data,20,1,100.0,0.7,93.667,6.549,-0.013,True,learned_prefer
generating decision environmental permit,treat subcase perspective,19,1,100.0,0.8,87.667,6.454,-0.164,True,learned_prefer
retrieve missing data,enter receipt of additional data,1,0,25.0,0.0,86.333,6.432,-0.02,True,learned_prefer
create procedure confirmation,subcases completeness completed,1,0,33.3,0.0,85.286,6.414,-0.036,True,learned_prefer
no permit needed or only notification needed,set phase decision revoked,73,1,98.6,0.8,80.57,6.332,-0.173,True,learned_prefer
subcase perspective complete,phase decision sent,62,0,86.1,0.0,78.448,6.294,-0.203,True,learned_prefer
completed subcases content,start decision phase decision permitting sent,1,1,50.0,0.5,76.6,6.259,-0.013,True,learned_prefer
procedure change,start decision phase permanently suspended decided,1,2,100.0,1.1,75.0,6.229,-0.013,True,learned_prefer
enter date publication decision environmental permit,set decision status,181,0,42.3,0.0,73.278,6.195,-0.147,True,learned_prefer
enter senddate decision environmental permit,continue or abort mutation BAG objects,1,1,50.0,0.5,73.0,6.19,-0.013,True,learned_prefer
suspend term,treat subcases content,2,1,100.0,0.9,71.667,6.163,-0.116,True,learned_prefer
creating environmental permit decision,enter date advice on treatment of environmental permit,4,2,80.0,0.9,70.2,6.133,-0.013,True,learned_prefer
entering senddate draft decision environmental permit,enter senddate decision environmental permit,2,0,33.3,0.0,69.615,6.121,-0.075,True,learned_prefer
objection lodged against decision,treat objection subcase,76,0,100.0,0.0,69.0,6.109,-0.098,True,learned_prefer
retrieve missing data,investigate BAG objects,3,1,75.0,0.8,67.148,6.069,-0.013,True,learned_prefer
submit decision,read publication date field,191,1,100.0,1.0,67.0,6.066,-0.128,True,learned_prefer
send confirmation receipt,terminate on request,11,2,84.6,1.1,64.23,6.005,-0.013,True,learned_prefer
receive additional information,enter senddate updated plan,5,1,83.3,0.9,64.026,6.001,-0.013,True,learned_prefer
create draft environtmental permit,publish official draft decision,2,1,100.0,1.1,62.333,5.962,-0.067,True,learned_prefer
set decision phase decision permitting decided,transcript decision environmental permit to stakeholders,20,2,100.0,1.3,61.0,5.931,-0.018,True,learned_prefer
send procedure confirmation,record date of decision no permit required,73,2,100.0,1.3,60.6,5.921,-0.214,True,learned_prefer
enter senddate retrieve missing data,enter senddate procedure confirmation,266,1,99.6,1.1,60.108,5.909,-0.013,True,learned_prefer
treat subcases content,send confirmation receipt,2,3,100.0,1.5,58.143,5.862,-0.132,True,learned_prefer
resume completeness subcases,set decision status,1,1,100.0,1.2,55.667,5.799,-0.07,True,learned_prefer
read publication date field,register deadline,121,1,99.2,1.2,55.212,5.787,-0.12,True,learned_prefer
register receipt updated plan,phase updated plan received,9,0,90.0,0.0,55.19,5.786,-0.154,True,learned_prefer
enter senddate acknowledgement,treat subcases completeness,6,2,100.0,1.5,52.6,5.717,-0.013,True,learned_prefer
phase draft decision made,enter date advice on treatment of environmental permit,1,1,100.0,1.3,51.667,5.691,-0.013,True,learned_prefer
start WABOprocedure,set decision phase suspension sent,6,2,75.0,1.2,50.624,5.662,-0.174,True,learned_prefer
phase procedure term suspended,phase additional information received,4,0,100.0,0.0,49.0,5.615,-0.013,True,learned_prefer
phase advice known,create publication document,0,1,0.0,0.5,48.778,5.608,0.0,True,learned_prefer
phase advice known,set phase decision revoked,0,1,0.0,0.5,48.778,5.608,0.0,True,learned_prefer
phase advice known,coordination of application,0,1,0.0,0.5,48.778,5.608,0.0,True,learned_prefer
phase advice known,phase asked additional information,0,1,0.0,0.5,48.778,5.608,0.0,True,learned_prefer
phase advice known,message change status,0,1,0.0,0.5,48.778,5.608,0.0,True,learned_prefer
phase advice known,initiative competent authority,0,1,0.0,0.5,48.778,5.608,0.0,True,learned_prefer
phase advice known,enter senddate retrieve missing data,0,1,0.0,0.5,48.778,5.608,0.0,True,learned_prefer
phase advice known,calculate final charges,0,1,0.0,0.5,48.778,5.608,0.0,True,learned_prefer
phase advice known,treat subcase perspective,0,1,0.0,0.5,48.778,5.608,0.0,True,learned_prefer
phase advice known,creating decision suspension art. 33 WABO,0,1,0.0,0.5,48.778,5.608,0.0,True,learned_prefer
phase advice known,reason for suspension found,0,1,0.0,0.5,48.778,5.608,0.0,True,learned_prefer
phase advice known,register objection and appeal periods,0,1,0.0,0.5,48.778,5.608,0.0,True,learned_prefer
phase advice known,terminate on request,0,1,0.0,0.5,48.778,5.608,0.0,True,learned_prefer
phase advice known,create monitoring case,0,1,0.0,0.5,48.778,5.608,0.0,True,learned_prefer
phase advice known,phase updated plan requested,0,1,0.0,0.5,48.778,5.608,0.0,True,learned_prefer
phase advice known,send confirmation receipt,0,1,0.0,0.5,48.778,5.608,0.0,True,learned_prefer
phase advice known,start phased application,0,1,0.0,0.5,48.778,5.608,0.0,True,learned_prefer
phase advice known,phase draft decision made,0,1,0.0,0.5,48.778,5.608,0.0,True,learned_prefer
phase advice known,retrieve missing data,0,1,0.0,0.5,48.778,5.608,0.0,True,learned_prefer
phase advice known,treat subcases present decision,0,1,0.0,0.5,48.778,5.608,0.0,True,learned_prefer
phase advice known,treat subcase suspension art. 33 WABO,0,1,0.0,0.5,48.778,5.608,0.0,True,learned_prefer
phase advice known,start decision phase decision permitting sent,0,1,0.0,0.5,48.778,5.608,0.0,True,learned_prefer
phase advice known,create monitoring case oversight,0,1,0.0,0.5,48.778,5.608,0.0,True,learned_prefer
phase advice known,resume completeness subcases,0,1,0.0,0.5,48.778,5.608,0.0,True,learned_prefer
phase advice known,register number of days extension period,0,1,0.0,0.5,48.778,5.608,0.0,True,learned_prefer
phase advice known,register date environmental permit decision,0,1,0.0,0.5,48.778,5.608,0.0,True,learned_prefer
phase advice known,submit draft decision,0,1,0.0,0.5,48.778,5.608,0.0,True,learned_prefer
phase advice known,generate draft decision environmental permit,0,1,0.0,0.5,48.778,5.608,0.0,True,learned_prefer
phase advice known,read publication date field,0,1,0.0,0.5,48.778,5.608,0.0,True,learned_prefer
start decision phase decision permitting sent,record date of decision environmental permit,2,1,50.0,0.8,47.593,5.573,-0.117,True,learned_prefer
enter senddate decision,create subcases completeness,2,1,66.7,1.0,46.905,5.552,-0.157,True,learned_prefer
forward to the competent authority,create subcases completeness,5,2,83.3,1.5,45.862,5.519,-0.015,True,learned_prefer
enter senddate decision environmental permit,set phase decision revoked,1,2,50.0,1.1,43.8,5.453,-0.118,True,learned_prefer
subcases completeness completed,create draft environtmental permit,2,2,50.0,1.0,43.222,5.434,-0.076,True,learned_prefer
subcases completeness completed,close case,1,1,25.0,0.5,43.222,5.434,-0.032,True,learned_prefer
send confirmation receipt additional data,keep permanently suspended,1,1,100.0,1.6,43.0,5.426,-0.016,True,learned_prefer
phase decision sent,transcript decision environmental permit to stakeholders,58,0,18.7,0.0,42.768,5.418,-0.268,True,learned_prefer
procedure change,create draft environtmental permit,0,1,0.0,0.5,41.667,5.381,0.0,True,learned_prefer
procedure change,extend procedure term,0,1,0.0,0.5,41.667,5.381,0.0,True,learned_prefer
procedure change,registration date publication,0,1,0.0,0.5,41.667,5.381,0.0,True,learned_prefer
procedure change,enter date advice on treatment of environmental permit,0,1,0.0,0.5,41.667,5.381,0.0,True,learned_prefer
procedure change,article 34  WABO applies,0,1,0.0,0.5,41.667,5.381,0.0,True,learned_prefer
procedure change,registrer date of publishing received request,0,1,0.0,0.5,41.667,5.381,0.0,True,learned_prefer
procedure change,enter date decision permanent suspension,0,1,0.0,0.5,41.667,5.381,0.0,True,learned_prefer
procedure change,cancel case,0,1,0.0,0.5,41.667,5.381,0.0,True,learned_prefer
procedure change,completed subcases content,0,1,0.0,0.5,41.667,5.381,0.0,True,learned_prefer
procedure change,reason for suspension found,0,1,0.0,0.5,41.667,5.381,0.0,True,learned_prefer
procedure change,procedure change,0,1,0.0,0.5,41.667,5.381,0.0,True,learned_prefer
procedure change,generating decision environmental permit,0,1,0.0,0.5,41.667,5.381,0.0,True,learned_prefer
procedure change,generate draft decision environmental permit,0,1,0.0,0.5,41.667,5.381,0.0,True,learned_prefer
procedure change,grounds for refusal,0,1,0.0,0.5,41.667,5.381,0.0,True,learned_prefer
procedure change,phase advice known,0,1,0.0,0.5,41.667,5.381,0.0,True,learned_prefer
procedure change,phase application receptive,0,1,0.0,0.5,41.667,5.381,0.0,True,learned_prefer
procedure change,enter senddate retrieve missing data,0,1,0.0,0.5,41.667,5.381,0.0,True,learned_prefer
procedure change,set decision status,0,1,0.0,0.5,41.667,5.381,0.0,True,learned_prefer
procedure change,treat subcases content,0,1,0.0,0.5,41.667,5.381,0.0,True,learned_prefer
procedure change,enter senddate decision,0,1,0.0,0.5,41.667,5.381,0.0,True,learned_prefer
procedure change,set decision phase suspension sent,0,1,0.0,0.5,41.667,5.381,0.0,True,learned_prefer
procedure change,register suspension by competent authority,0,1,0.0,0.5,41.667,5.381,0.0,True,learned_prefer
procedure change,start phased application,0,1,0.0,0.5,41.667,5.381,0.0,True,learned_prefer
procedure change,request updated plan,0,1,0.0,0.5,41.667,5.381,0.0,True,learned_prefer
procedure change,entering senddate draft decision environmental permit,0,1,0.0,0.5,41.667,5.381,0.0,True,learned_prefer
procedure change,phase decision ready,0,1,0.0,0.5,41.667,5.381,0.0,True,learned_prefer
procedure change,send decision suspension,0,1,0.0,0.5,41.667,5.381,0.0,True,learned_prefer
creating cover letter decision,create decision procedure term extension,194,1,100.0,1.6,41.0,5.358,-0.103,True,learned_prefer
creating environmental permit decision,subcases completeness completed,1,1,20.0,0.5,39.0,5.285,-0.079,True,learned_prefer
request complete,ask stakeholders views,0,1,0.0,0.6,38.333,5.261,0.0,True,learned_prefer
request complete,phase draft decision made,0,1,0.0,0.6,38.333,5.261,0.0,True,learned_prefer
request complete,WAW permit aspect,0,1,0.0,0.6,38.333,5.261,0.0,True,learned_prefer
request complete,publish,0,1,0.0,0.6,38.333,5.261,0.0,True,learned_prefer
request complete,create subcases content,0,1,0.0,0.6,38.333,5.261,0.0,True,learned_prefer
request complete,register number of days extension period,0,1,0.0,0.6,38.333,5.261,0.0,True,learned_prefer
request complete,phase application receptive,0,1,0.0,0.6,38.333,5.261,0.0,True,learned_prefer
request complete,assessment of content completed,0,1,0.0,0.6,38.333,5.261,0.0,True,learned_prefer
request complete,receive additional information,0,1,0.0,0.6,38.333,5.261,0.0,True,learned_prefer
request complete,phase application received,0,1,0.0,0.6,38.333,5.261,0.0,True,learned_prefer
request complete,objection to permanent suspension accepted,0,1,0.0,0.6,38.333,5.261,0.0,True,learned_prefer
request complete,enter senddate decision environmental permit,0,1,0.0,0.6,38.333,5.261,0.0,True,learned_prefer
request complete,received OLO documents,0,1,0.0,0.6,38.333,5.261,0.0,True,learned_prefer
assessment of content completed,submit draft decision,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
phase application received,register submission date request,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
phase application received,inform BAG administrator,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
phase application received,start phased application,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
phase application received,start WABOprocedure,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
phase application received,phase asked additional information,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
phase application received,treat subcases content,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
assessment of content completed,enrich decision,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
phase application received,applicant is stakeholder,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
phase application received,MER required,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
phase application received,MER present,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
assessment of content completed,read publication date field,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
assessment of content completed,set decision phase: draft decision permitted sent,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
phase application received,enter senddate retrieve missing data,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
assessment of content completed,inform BAG administrator,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
assessment of content completed,decision date prior to decision,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
phase application received,procedure change,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
phase application received,send design decision to stakeholders,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
phase application received,term for supplying missing data,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
assessment of content completed,start decision phase decision permitting sent,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
assessment of content completed,subcase art. 33 WABO completed,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
assessment of content completed,set decision status,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
assessment of content completed,phase application receptive,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
assessment of content completed,grounds for refusal,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
assessment of content completed,enter senddate acknowledgement,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
assessment of content completed,objection to extension procedure term receptive,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
assessment of content completed,enter publication date draft decision,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
assessment of content completed,updated plan received,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
assessment of content completed,start WABOprocedure,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
phase application received,copy decision to extend procedure to stakeholders,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
phase application received,completed subcases content,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
phase application received,enter enddate of suspension,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
assessment of content completed,received OLO documents,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
assessment of content completed,read field phased application,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
assessment of content completed,phase updated plan requested,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
phase application received,forward to the competent authority,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
phase application received,phase decision sent,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
phase application received,send confirmation receipt,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
phase application received,receive additional information,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
assessment of content completed,enter enddate of suspension,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
assessment of content completed,determine cause for suspension article 34 WABO,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
assessment of content completed,enter date publication decision environmental permit,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
phase application received,extend procedure term,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
assessment of content completed,message change status,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
assessment of content completed,create draft environtmental permit,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
assessment of content completed,transcript decision environmental permit to stakeholders,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
assessment of content completed,term for submitting updated plan,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
phase application received,retrieve missing data,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
assessment of content completed,enter date decision procedure term extension,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
assessment of content completed,enter date draft decisionenvironmental permit,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
assessment of content completed,enter senddate procedure term extension,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
assessment of content completed,register objection and appeal periods,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
assessment of content completed,request updated plan,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
assessment of content completed,send design decision to stakeholders,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
assessment of content completed,generating decision no permit required,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
assessment of content completed,entering senddate draft decision environmental permit,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
assessment of content completed,enter date advice on treatment of environmental permit,0,1,0.0,0.6,37.444,5.227,0.0,True,learned_prefer
regular procedure applies,objection to extension procedure term receptive,2,0,100.0,0.0,37.0,5.209,-0.035,True,learned_prefer
decision date prior to decision,subcase perspective complete,62,0,15.5,0.0,36.893,5.205,-0.229,True,learned_prefer
phase decision sent,enter date publication decision environmental permit,249,2,80.3,1.8,36.481,5.189,-0.163,True,learned_prefer
create decision procedure term extension,phase application receptive,194,1,100.0,1.9,35.667,5.157,-0.09,True,learned_prefer
extend procedure term,enter date advice on treatment of environmental permit,0,1,0.0,0.6,35.444,5.147,0.0,True,learned_prefer
extend procedure term,enter senddate acknowledgement,0,1,0.0,0.6,35.444,5.147,0.0,True,learned_prefer
extend procedure term,terminate on request,0,1,0.0,0.6,35.444,5.147,0.0,True,learned_prefer
extend procedure term,updated plan received,0,1,0.0,0.6,35.444,5.147,0.0,True,learned_prefer
extend procedure term,by law,0,1,0.0,0.6,35.444,5.147,0.0,True,learned_prefer
extend procedure term,term for supplying missing data,0,1,0.0,0.6,35.444,5.147,0.0,True,learned_prefer
extend procedure term,retrieve missing data,0,1,0.0,0.6,35.444,5.147,0.0,True,learned_prefer
extend procedure term,no permit needed or only notification needed,0,1,0.0,0.6,35.444,5.147,0.0,True,learned_prefer
extend procedure term,receive additional information,0,1,0.0,0.6,35.444,5.147,0.0,True,learned_prefer
extend procedure term,generate draft decision environmental permit,0,1,0.0,0.6,35.444,5.147,0.0,True,learned_prefer
extend procedure term,treat subcases completeness,0,1,0.0,0.6,35.444,5.147,0.0,True,learned_prefer
extend procedure term,send suspension by competent authority,0,1,0.0,0.6,35.444,5.147,0.0,True,learned_prefer
extend procedure term,updated plan after review,0,1,0.0,0.6,35.444,5.147,0.0,True,learned_prefer
extend procedure term,register date environmental permit decision,0,1,0.0,0.6,35.444,5.147,0.0,True,learned_prefer
extend procedure term,register suspension by competent authority,0,1,0.0,0.6,35.444,5.147,0.0,True,learned_prefer
extend procedure term,send letter in progress,0,1,0.0,0.6,35.444,5.147,0.0,True,learned_prefer
extend procedure term,phase decision taken,0,1,0.0,0.6,35.444,5.147,0.0,True,learned_prefer
send letter in progress,create publication document,1,2,100.0,2.3,35.4,5.146,-0.013,True,learned_prefer
registrer date of publishing received request,enter senddate party permitted,1,1,33.3,0.8,34.714,5.117,-0.013,True,learned_prefer
phase perspective submitted,generating decision environmental permit,10,1,100.0,2.0,33.667,5.073,-0.157,True,learned_prefer
enter date decision procedure term extension,decision procedure term extension,2,1,66.7,1.4,33.571,5.069,-0.04,True,learned_prefer
register date environmental permit decision,completed subcases content,2,4,100.0,2.7,33.444,5.064,-0.03,True,learned_prefer
enter date publication decision environmental permit,continue or abort mutation BAG objects,247,1,57.7,1.2,33.308,5.058,-0.133,True,learned_prefer
phase decision ready,assessment of content completed,0,1,0.0,0.7,33.0,5.044,0.0,True,learned_prefer
phase decision ready,change authorized,0,1,0.0,0.7,33.0,5.044,0.0,True,learned_prefer
phase decision ready,treat subcase suspension art. 35 WABO,0,1,0.0,0.7,33.0,5.044,0.0,True,learned_prefer
phase decision ready,enter senddate acknowledgement,0,1,0.0,0.7,33.0,5.044,0.0,True,learned_prefer
phase decision ready,register deadline,0,1,0.0,0.7,33.0,5.044,0.0,True,learned_prefer
phase decision ready,start decisionphase draft decision - permitting decided,0,1,0.0,0.7,33.0,5.044,0.0,True,learned_prefer
phase decision ready,subcases completed present decision,0,1,0.0,0.7,33.0,5.044,0.0,True,learned_prefer
phase decision ready,calculate final charges,0,1,0.0,0.7,33.0,5.044,0.0,True,learned_prefer
phase decision ready,read publication date field,0,1,0.0,0.7,33.0,5.044,0.0,True,learned_prefer
phase decision ready,phase procedure term resumed,0,1,0.0,0.7,33.0,5.044,0.0,True,learned_prefer
phase decision ready,record date of decision environmental permit,0,1,0.0,0.7,33.0,5.044,0.0,True,learned_prefer
phase decision ready,phase additional information received,0,1,0.0,0.7,33.0,5.044,0.0,True,learned_prefer
phase decision ready,phase concept decision ready,0,1,0.0,0.7,33.0,5.044,0.0,True,learned_prefer
phase decision ready,enter senddate decision environmental permit,0,1,0.0,0.7,33.0,5.044,0.0,True,learned_prefer
phase decision ready,entering senddate draft decision environmental permit,0,1,0.0,0.7,33.0,5.044,0.0,True,learned_prefer
phase decision ready,phase draft decision made,0,1,0.0,0.7,33.0,5.044,0.0,True,learned_prefer
phase decision ready,phase decision taken,0,1,0.0,0.7,33.0,5.044,0.0,True,learned_prefer
completed subcases content,request further information,1,3,50.0,1.6,32.829,5.037,-0.144,True,learned_prefer
treat subcase perspective,subcase perspective complete,10,0,50.0,0.0,31.244,4.966,-0.186,True,learned_prefer
registration date publication,creating cover letter decision,194,5,99.5,3.0,30.661,4.938,-0.118,True,learned_prefer
submit draft decision,entering senddate draft decision environmental permit,2,2,100.0,2.6,30.6,4.935,-0.136,True,learned_prefer
register submission date request,enter senddate retrieve missing data,267,5,46.8,1.4,30.424,4.927,-0.013,True,learned_prefer
phase advice known,subcase perspective complete,0,2,0.0,0.9,29.267,4.871,0.0,True,learned_prefer
phase advice known,set decision status,0,2,0.0,0.9,29.267,4.871,0.0,True,learned_prefer
phase advice known,inform BAG administrator,0,2,0.0,0.9,29.267,4.871,0.0,True,learned_prefer
phase advice known,phase archived case,0,2,0.0,0.9,29.267,4.871,0.0,True,learned_prefer
phase advice known,suspend term,0,2,0.0,0.9,29.267,4.871,0.0,True,learned_prefer
phase advice known,set decision phase decision permitting decided,0,2,0.0,0.9,29.267,4.871,0.0,True,learned_prefer
phase advice known,send procedure confirmation,0,2,0.0,0.9,29.267,4.871,0.0,True,learned_prefer
phase advice known,send decision suspension,0,2,0.0,0.9,29.267,4.871,0.0,True,learned_prefer
phase advice known,transcript decision environmental permit to stakeholders,0,2,0.0,0.9,29.267,4.871,0.0,True,learned_prefer
phase advice known,phase decision sent,0,2,0.0,0.9,29.267,4.871,0.0,True,learned_prefer
phase advice known,phase decision taken,0,2,0.0,0.9,29.267,4.871,0.0,True,learned_prefer
phase advice known,enter senddate draft decision,0,2,0.0,0.9,29.267,4.871,0.0,True,learned_prefer
phase advice known,enter senddate decision,0,2,0.0,0.9,29.267,4.871,0.0,True,learned_prefer
phase advice known,enter senddate acknowledgement,0,2,0.0,0.9,29.267,4.871,0.0,True,learned_prefer
phase advice known,ask stakeholders views,0,2,0.0,0.9,29.267,4.871,0.0,True,learned_prefer
phase advice known,create draft environtmental permit,0,2,0.0,0.9,29.267,4.871,0.0,True,learned_prefer
phase advice known,creating environmental permit decision,0,2,0.0,0.9,29.267,4.871,0.0,True,learned_prefer
phase advice known,enter date advice on treatment of environmental permit,0,2,0.0,0.9,29.267,4.871,0.0,True,learned_prefer
phase advice known,completed subcases content,0,2,0.0,0.9,29.267,4.871,0.0,True,learned_prefer
phase advice known,continue or abort mutation BAG objects,0,2,0.0,0.9,29.267,4.871,0.0,True,learned_prefer
phase advice known,publish official draft decision,0,2,0.0,0.9,29.267,4.871,0.0,True,learned_prefer
phase advice known,phase updated plan received,0,2,0.0,0.9,29.267,4.871,0.0,True,learned_prefer
phase advice known,enter senddate procedure confirmation,0,2,0.0,0.9,29.267,4.871,0.0,True,learned_prefer
phase advice known,extend procedure term,0,2,0.0,0.9,29.267,4.871,0.0,True,learned_prefer
phase advice known,record date of decision environmental permit,0,2,0.0,0.9,29.267,4.871,0.0,True,learned_prefer
phase advice known,registrer date of publishing received request,0,2,0.0,0.9,29.267,4.871,0.0,True,learned_prefer
phase advice known,enter senddate decision environmental permit,0,2,0.0,0.9,29.267,4.871,0.0,True,learned_prefer
phase advice known,enter date decision suspension,0,2,0.0,0.9,29.267,4.871,0.0,True,learned_prefer
create publication document,submit draft decision,1,2,33.3,1.2,29.229,4.869,-0.013,True,learned_prefer
set decision phase: suspension cancelled,receive additional information,1,1,100.0,2.3,29.0,4.858,-0.013,True,learned_prefer
send decision suspension,phase application receptive,5,1,100.0,2.3,29.0,4.858,-0.123,True,learned_prefer
enter senddate procedure confirmation,transcript decision environmental permit to stakeholders,270,2,47.9,1.3,28.847,4.85,-0.015,True,learned_prefer
investigate BAG objects,receive additional information,4,2,100.0,2.9,28.2,4.818,-0.013,True,learned_prefer
enter date draft decisionenvironmental permit,enrich draft decision,0,1,0.0,0.8,27.667,4.79,0.0,True,learned_prefer
enter date draft decisionenvironmental permit,date for inspection MER,0,1,0.0,0.8,27.667,4.79,0.0,True,learned_prefer
enter date draft decisionenvironmental permit,enter date publication decision environmental permit,0,1,0.0,0.8,27.667,4.79,0.0,True,learned_prefer
enter date draft decisionenvironmental permit,register submission date request,0,1,0.0,0.8,27.667,4.79,0.0,True,learned_prefer
treat subcase suspension art. 33 WABO,set decision status,1,1,100.0,2.4,27.667,4.79,-0.136,True,learned_prefer
enter date draft decisionenvironmental permit,message change status,0,1,0.0,0.8,27.667,4.79,0.0,True,learned_prefer
enter date draft decisionenvironmental permit,enter senddate decision,0,1,0.0,0.8,27.667,4.79,0.0,True,learned_prefer
enter date draft decisionenvironmental permit,reception through OLO,0,1,0.0,0.8,27.667,4.79,0.0,True,learned_prefer
enter date draft decisionenvironmental permit,decided on draft decision environmental permit,0,1,0.0,0.8,27.667,4.79,0.0,True,learned_prefer
enter date draft decisionenvironmental permit,register date environmental permit decision,0,1,0.0,0.8,27.667,4.79,0.0,True,learned_prefer
