from_activity,to_activity,rl_count,random_count,rl_pct,random_pct,preference_ratio,log2_ratio,avg_reward_rl,in_real_log,transition_type
W_Call incomplete files,W_Validate application,11,144,100.0,9.4,10.633,3.411,-0.017,True,learned_prefer
W_Complete application,W_Shortened completion ,500,232,100.0,11.3,8.824,3.141,-0.017,True,learned_prefer
W_Shortened completion ,O_Create Offer,500,193,100.0,12.0,8.349,3.062,-0.017,True,learned_prefer
W_Validate application,W_Validate application,7447,281,100.0,12.0,8.339,3.06,-0.048,True,learned_prefer
O_Created,O_Sent (mail and online),489,281,97.8,12.0,8.163,3.029,-0.017,True,learned_prefer
O_Sent (mail and online),W_Validate application,489,183,100.0,12.4,8.014,3.002,-0.017,True,learned_prefer
A_Create Application,A_Submitted,500,163,100.0,32.6,3.061,1.614,-0.017,True,learned_prefer
W_Call after offers,W_Shortened completion ,0,216,0.0,11.1,2.997,1.583,0.0,True,learned_prefer
W_Handle leads,W_Complete application,500,223,100.0,34.1,2.928,1.55,-0.017,True,learned_prefer
W_Call after offers,W_Call after offers,0,227,0.0,11.7,2.852,1.512,0.0,True,learned_prefer
O_Sent (online only),O_Sent (mail and online),0,153,0.0,11.7,2.841,1.507,0.0,True,learned_prefer
O_Sent (online only),W_Validate application,0,156,0.0,11.9,2.787,1.479,0.0,True,learned_prefer
O_Sent (online only),W_Call incomplete files,0,158,0.0,12.1,2.752,1.46,0.0,True,learned_prefer
W_Call after offers,A_Complete,0,242,0.0,12.4,2.676,1.42,0.0,True,learned_prefer
W_Call after offers,W_Assess potential fraud,0,243,0.0,12.5,2.665,1.414,0.0,True,learned_prefer
W_Call after offers,O_Sent (mail and online),0,244,0.0,12.5,2.654,1.408,0.0,True,learned_prefer
O_Sent (online only),O_Create Offer,0,164,0.0,12.5,2.651,1.407,0.0,True,learned_prefer
O_Sent (online only),W_Call after offers,0,166,0.0,12.7,2.62,1.389,0.0,True,learned_prefer
W_Call after offers,W_Validate application,0,249,0.0,12.8,2.601,1.379,0.0,True,learned_prefer
O_Sent (online only),O_Sent (online only),0,169,0.0,12.9,2.573,1.364,0.0,True,learned_prefer
O_Sent (online only),W_Complete application,0,170,0.0,13.0,2.558,1.355,0.0,True,learned_prefer
O_Sent (online only),O_Returned,0,172,0.0,13.1,2.529,1.338,0.0,True,learned_prefer
W_Call after offers,O_Returned,0,261,0.0,13.4,2.481,1.311,0.0,True,learned_prefer
W_Call after offers,O_Create Offer,0,264,0.0,13.6,2.453,1.295,0.0,True,learned_prefer
A_Incomplete,O_Returned,0,23,0.0,15.6,2.092,1.065,0.0,True,learned_prefer
A_Complete,W_Shortened completion ,0,40,0.0,16.7,1.979,0.985,0.0,True,neutral
A_Complete,W_Call after offers,0,43,0.0,17.9,1.843,0.882,0.0,True,neutral
W_Assess potential fraud,W_Complete application,0,251,0.0,19.2,1.732,0.792,0.0,True,neutral
O_Returned,O_Create Offer,0,264,0.0,19.3,1.726,0.787,0.0,True,neutral
O_Returned,W_Call after offers,0,264,0.0,19.3,1.726,0.787,0.0,True,neutral
W_Assess potential fraud,W_Validate application,0,256,0.0,19.6,1.698,0.764,0.0,True,neutral
W_Assess potential fraud,W_Call after offers,0,257,0.0,19.7,1.691,0.758,0.0,True,neutral
A_Complete,O_Sent (online only),0,47,0.0,19.6,1.688,0.755,0.0,True,neutral
A_Complete,O_Create Offer,0,47,0.0,19.6,1.688,0.755,0.0,True,neutral
O_Returned,W_Call incomplete files,0,272,0.0,19.9,1.675,0.744,0.0,True,neutral
W_Assess potential fraud,W_Assess potential fraud,0,266,0.0,20.4,1.634,0.709,0.0,True,neutral
O_Returned,O_Returned,0,280,0.0,20.5,1.627,0.703,0.0,True,neutral
O_Returned,W_Validate application,0,289,0.0,21.1,1.577,0.657,0.0,True,neutral
