from_activity,to_activity,rl_count,random_count,rl_pct,random_pct,preference_ratio,log2_ratio,avg_reward_rl,in_real_log,transition_type
extend procedure term,phase asked additional information,43,0,100.0,0.0,315.0,8.299,-0.245,True,learned_prefer
send procedure confirmation,procedure change,16,0,100.0,0.0,281.0,8.134,-0.136,True,learned_prefer
record date of decision environmental permit,register deadline,55,0,100.0,0.0,263.0,8.039,-0.02,True,learned_prefer
enter senddate acknowledgement,objection lodged against decision,11,0,91.7,0.0,236.44,7.885,-0.129,True,learned_prefer
receive additional information,registrer date of publishing received request,2,0,100.0,0.0,213.0,7.735,-0.155,True,learned_prefer
submit decision,phase decision ready,82,0,100.0,0.0,187.0,7.547,-0.02,True,learned_prefer
decision date prior to decision,create cover letter extend procedure term,64,0,74.4,0.0,185.671,7.537,-0.013,True,learned_prefer
phase draft decision ready,retrieve missing data,2,0,100.0,0.0,179.0,7.484,-0.087,True,learned_prefer
register objection and appeal periods,submit decision,82,0,65.6,0.0,143.964,7.17,-0.023,True,learned_prefer
creating environmental permit decision,creating cover letter decision,319,1,99.4,0.5,134.823,7.075,-0.048,True,learned_prefer
subcases completeness completed,extend procedure term,43,1,100.0,0.5,133.667,7.062,-0.271,True,learned_prefer
grounds for refusal,reason for suspension found,16,0,94.1,0.0,131.057,7.034,-0.013,True,learned_prefer
generating decision environmental permit,create monitoring case,13,1,100.0,0.6,115.667,6.854,-0.033,True,learned_prefer
creating cover letter decision,continuation term to decision,320,0,100.0,0.0,115.0,6.845,-0.057,True,learned_prefer
phase application received,phase decision sent,91,1,88.3,0.5,114.633,6.841,-0.07,True,learned_prefer
enter senddate procedure confirmation,calculate final charges,3,1,100.0,0.6,113.667,6.829,-0.013,True,learned_prefer
enter senddate decision procedure term extension,phase application receptive,2,0,100.0,0.0,113.0,6.82,-0.013,True,learned_prefer
request complete,publish,17,1,100.0,0.6,113.0,6.82,-0.098,True,learned_prefer
ask stakeholders views,MER present in supplement,1,0,100.0,0.0,111.0,6.794,-0.231,True,learned_prefer
phase application receptive,stop all running subcases 2b,72,1,92.3,0.6,109.904,6.78,-0.019,True,learned_prefer
create publication document,assessment of content completed,3,1,100.0,0.6,109.667,6.777,-0.013,True,learned_prefer
start decisionphase draft decision - permitting decided,procedure change after completeness,2,0,66.7,0.0,106.429,6.734,-0.149,True,learned_prefer
stop all running subcases 2b,record date of decision environmental permit,44,0,74.6,0.0,102.462,6.679,-0.015,True,learned_prefer
assessment of content completed,terminate on request,27,1,90.0,0.6,97.678,6.61,-0.078,True,learned_prefer
set decision phase decision permitting decided,phase concept decision ready,54,1,91.5,0.7,91.902,6.522,-0.015,True,learned_prefer
phase updated plan received,enter enddate suspension art. 33 WABO,82,0,100.0,0.0,91.0,6.508,-0.013,True,learned_prefer
