from_activity,to_activity,rl_count,random_count,rl_pct,random_pct,preference_ratio,log2_ratio,avg_reward_rl,in_real_log,transition_type
W_Beoordelen fraude,W_Beoordelen fraude,0,188,0.0,27.2,0.004,-7.799,0.0,True,learned_avoid
A_PARTLYSUBMITTED,W_Afhandelen leads,0,152,0.0,30.4,0.003,-8.253,0.0,True,learned_avoid
W_Completeren aanvraag,W_Nabellen offertes,0,134,0.0,12.8,0.003,-8.452,0.0,True,learned_avoid
A_PARTLYSUBMITTED,W_Beoordelen fraude,0,189,0.0,37.8,0.003,-8.566,0.0,True,learned_avoid
W_Completeren aanvraag,A_ACCEPTED,0,150,0.0,14.4,0.003,-8.615,0.0,True,learned_avoid
W_Completeren aanvraag,O_SELECTED,0,155,0.0,14.8,0.002,-8.662,0.0,True,learned_avoid
W_Completeren aanvraag,A_FINALIZED,0,158,0.0,15.1,0.002,-8.689,0.0,True,learned_avoid
W_Completeren aanvraag,W_Afhandelen leads,0,163,0.0,15.6,0.002,-8.734,0.0,True,learned_avoid
W_Afhandelen leads,W_Beoordelen fraude,0,127,0.0,24.0,0.001,-10.02,0.0,True,learned_avoid
W_Afhandelen leads,A_PREACCEPTED,0,132,0.0,24.9,0.001,-10.075,0.0,True,learned_avoid
W_Afhandelen leads,W_Completeren aanvraag,0,133,0.0,25.1,0.001,-10.086,0.0,True,learned_avoid
